[ERROR] 2021-03-26 10:39:40,362 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
[ERROR] 2021-03-26 11:19:18,291 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:18,293 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:19,657 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:20,276 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:20,892 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:21,860 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:21,896 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:22,866 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:23,087 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:24,095 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
[ERROR] 2021-03-26 11:19:24,684 method:com.alipay.sofa.jraft.rpc.impl.AbstractClientService.connect(AbstractClientService.java:157)
Fail to connect 127.0.0.1:8003, remoting exception: com.alipay.remoting.exception.RemotingException: Create connection failed. The address is 127.0.0.1:8003.
